feature,target,spearman_corr_with_emotional_intensity,p_value_intensity,spearman_corr_with_sentiment_direction,p_value_sentiment_direction,spearman_corr_with_headline_intensity,p_value_headline_intensity,spearman_corr_with_abstract_intensity,p_value_abstract_intensity,absolute_relevance,fdr_q_value_intensity,selected_feature
combined_word_count,combined_emotional_intensity,0.343894941054466,2.7464852362476336e-31,0.19753865507005847,6.03698660395016e-11,0.006977978663311704,0.8189899110807995,0.39558127999716713,1.3679469632472673e-41,0.343894941054466,6.316916043369557e-30,True
abstract_char_count,combined_emotional_intensity,0.3394727780181989,1.752789465456434e-30,0.20749661608065725,5.992651328528872e-12,-0.03048434174788787,0.31732945530037643,0.40012967009904854,1.3467914911345082e-42,0.3394727780181989,2.015707885274899e-29,True
abstract_word_count,combined_emotional_intensity,0.3374369837774951,4.073227196787875e-30,0.20076656801963258,2.8924630142685078e-11,-0.028451705482380442,0.35068706252478565,0.3939041984291689,3.1866553152449247e-41,0.3374369837774951,3.1228075175373705e-29,True
abstract_comma_count,combined_emotional_intensity,0.19485722410942738,1.1020054600588099e-10,0.13560156977491591,7.907269681626195e-06,-0.06651619215874524,0.028976560494082485,0.2343829053163711,6.998848326263846e-15,0.19485722410942738,6.336531395338157e-10,True
superlative_count,combined_emotional_intensity,0.17907983319332715,3.2034878774956252e-09,0.10470567353294845,0.0005747209059877667,6.965147658209123e-05,0.9981774676621789,0.1885245640547361,4.665998947185908e-10,0.17907983319332715,1.4736044236479876e-08,True
progress_term_count,combined_emotional_intensity,0.1516891742980033,5.626961043839037e-07,0.18848427530417433,4.452043732376971e-10,0.02312708545108555,0.44812177917938334,0.16204553145070008,9.183450460548695e-08,0.1516891742980033,2.157001733471631e-06,True
speculative_count,combined_emotional_intensity,0.13657369226501198,6.795015192691888e-06,0.10876059547734775,0.00034702800588966146,0.012325674323581597,0.6860409431909057,0.13626360065925117,7.345255614765603e-06,0.13657369226501198,2.2326478490273346e-05,True
modal_verb_count,combined_emotional_intensity,0.13201557307459877,1.370894071408348e-05,0.14396335514202915,2.0748378697709563e-06,-1.0319628833915812e-05,0.9997299716508387,0.14217499804002082,2.8703156295469187e-06,0.13201557307459877,3.941320455299001e-05,True
abstract_sentence_count,combined_emotional_intensity,0.13030903560742532,1.7725234711703585e-05,0.09084865806242062,0.0028307728516057426,-0.039047691946047944,0.20017591670783186,0.16206742942869815,9.14644845989008e-08,0.13030903560742532,4.529782204102027e-05,True
risk_term_count,combined_emotional_intensity,0.10226966047116082,0.000771743005024482,-0.14298196283620485,2.4373199881549656e-06,0.10666011705467991,0.00045164166887218227,0.07487376904417374,0.014069190080768198,0.10226966047116082,0.0017750089115563087,True
abstract_has_number,combined_emotional_intensity,0.09198917778010969,0.0025013318168913743,0.0769630551161877,0.011479954620539004,-0.038345925891670615,0.20838800975609262,0.08924226518208342,0.0034066329292000447,0.09198917778010969,0.005230057435318328,False
abstract_has_exclamation_mark,combined_emotional_intensity,0.06134170368472161,0.044052970444859785,0.0043168424753400525,0.8874190922112336,0.05091748884239465,0.09473872415934798,0.06870563767623207,0.024277659074335507,0.06134170368472161,0.08409331197811845,False
abstract_has_question_mark,combined_emotional_intensity,0.060367170338956486,0.04753100242241478,0.03488493714915321,0.2524604824372633,-0.027456365204063516,0.36780300718925785,0.07696671038984788,0.0115918499482242,0.060367170338956486,0.08409331197811845,False
headline_word_count,combined_emotional_intensity,0.05934564234853884,0.051421354881525674,0.01607119921646155,0.5981337989612089,0.20312100185631551,1.6779618372177165e-11,0.04167251096804593,0.17214993611893076,0.05934564234853884,0.08447794016250645,False
headline_char_count,combined_emotional_intensity,0.05547321510751968,0.06866220122145393,-0.0124616131536277,0.6827655517553011,0.21608200224962532,7.431331720011157e-13,0.033341201551892366,0.2747468509839771,0.05547321510751968,0.10528204187289604,False
abstract_avg_word_length,combined_emotional_intensity,0.053116566087810235,0.08130238962171313,0.05386199257695347,0.07711483159780765,0.005824290357710373,0.8485191963453316,0.06466023233322916,0.034024638528189294,0.053116566087810235,0.11687218508121262,False
headline_avg_word_length,combined_emotional_intensity,-0.03504517576513719,0.25028668731641657,-0.0586042858892985,0.05440846576450762,-0.02055472640801353,0.5002097608210455,-0.033234197698889634,0.27629102816937295,0.03504517576513719,0.3386231651927989,False
headline_has_question_mark,combined_emotional_intensity,0.033843620017742104,0.26690707483549353,0.006713959952944187,0.8257266271738228,0.06904096583430605,0.02339686767553514,-0.001562287395751415,0.9591952720055947,0.033843620017742104,0.34104792895646396,False
headline_comma_count,combined_emotional_intensity,-0.025004209930199077,0.4121381554471786,0.025186971249090695,0.40872853360101746,0.027614955184899054,0.36504162532604967,-0.049863011458699216,0.10226250390132291,0.025004209930199077,0.4917860685161296,False
clickbait_term_count,combined_emotional_intensity,0.02418432232697782,0.4276400595792431,0.019134594222685566,0.5302837022224639,-0.055298835589156076,0.06953864890038415,0.04172486516703915,0.17161122076611662,0.02418432232697782,0.4917860685161296,False
headline_has_number,combined_emotional_intensity,0.0035664421949805425,0.9068908033175227,-0.03267887897983749,0.283727124551219,0.010835667428797314,0.7223167815239477,-0.036998651792096694,0.22547961092956628,0.0035664421949805425,0.9798933773183404,False
headline_has_colon,combined_emotional_intensity,0.0023990730996644497,0.9372893174349343,-0.03927813499108551,0.19753141705808316,0.02150159559939093,0.48067181208036247,-0.00860010675739056,0.7782115031850401,0.0023990730996644497,0.9798933773183404,False
headline_has_exclamation_mark,combined_emotional_intensity,0.0003447679007207219,0.9909788298032818,-0.04079594944520578,0.18074882192380293,-0.02718952492877948,0.3724784788043314,-0.0028851130961913673,0.9247239747232667,0.0003447679007207219,0.9909788298032818,False
